instance                       n       A       F       M       N       S
-------------------------------------------------------------------
G-ex.txt                       8       ?       0      !?       3    true
P3.txt                         3       ?       1       1      -1    true
bht.txt                     5757       ?       0      !?       6    true
common-1-100.txt             100       ?      -1      -1      -1   false
common-1-1000.txt           1000       ?      -1      -1      -1   false
common-1-1500.txt           1500       ?      -1      -1      -1   false
common-1-20.txt               20       ?      -1      -1      -1   false
common-1-2000.txt           2000       ?      -1      -1      -1   false
common-1-250.txt             250       ?      -1      -1      -1   false
common-1-2500.txt           2500       ?       1      !?       6    true
common-1-3000.txt           3000       ?       1      !?       6    true
common-1-3500.txt           3500       ?       1      !?       6    true
common-1-4000.txt           4000       ?       1      !?       6    true
common-1-4500.txt           4500       ?       1      !?       6    true
common-1-50.txt               50       ?      -1      -1      -1   false
common-1-500.txt             500       ?      -1      -1      -1   false
common-1-5000.txt           5000       ?       1      !?       6    true
common-1-5757.txt           5757       ?       1      !?       6    true
common-2-100.txt             100       ?      -1      -1      -1   false
common-2-1000.txt           1000       ?       1      !?       4    true
common-2-1500.txt           1500       ?       1      !?       4    true
common-2-20.txt               20       ?      -1      -1      -1   false
common-2-2000.txt           2000       ?       1      !?       4    true
common-2-250.txt             250       ?      -1      -1      -1   false
common-2-2500.txt           2500       ?       1      !?       4    true
common-2-3000.txt           3000       ?       1      !?       4    true
common-2-3500.txt           3500       ?       1      !?       4    true
common-2-4000.txt           4000       ?       1      !?       4    true
common-2-4500.txt           4500       ?       1      !?       4    true
common-2-50.txt               50       ?      -1      -1      -1   false
common-2-500.txt             500       ?       1      !?       4    true
common-2-5000.txt           5000       ?       1      !?       4    true
common-2-5757.txt           5757       ?       1      !?       4    true
dodecahedron.txt              20       ?       1      !?       1    true
gnm-10-15-0.txt               10       ?       0      !?       1    true
gnm-10-15-1.txt               10       ?       0      !?       1    true
gnm-10-20-0.txt               10       ?       0      !?       3    true
gnm-10-20-1.txt               10       ?       1      !?       3    true
gnm-1000-1500-0.txt         1000       ?       1      !?      -1    true
gnm-1000-1500-1.txt         1000       ?       2      !?      -1    true
gnm-1000-2000-0.txt         1000       ?       0      !?       7    true
gnm-1000-2000-1.txt         1000       ?       1      !?      -1    true
gnm-2000-3000-0.txt         2000       ?       0      !?       8    true
gnm-2000-3000-1.txt         2000       ?       2      !?      -1    true
gnm-2000-4000-0.txt         2000       ?       0      !?       6    true
gnm-2000-4000-1.txt         2000       ?       0      !?       5    true
gnm-3000-4500-0.txt         3000       ?       0      !?      10    true
gnm-3000-4500-1.txt         3000       ?       2      !?      -1    true
gnm-3000-6000-0.txt         3000       ?       0      !?       6    true
gnm-3000-6000-1.txt         3000       ?       1      !?       6    true
gnm-4000-6000-0.txt         4000       ?       0      !?       7    true
gnm-4000-6000-1.txt         4000       ?       0      !?      15    true
gnm-4000-8000-0.txt         4000       ?       0      !?       5    true
gnm-4000-8000-1.txt         4000       ?       1      !?       6    true
gnm-5000-10000-0.txt        5000       ?       1      !?       5    true
gnm-5000-10000-1.txt        5000       ?       0      !?       5    true
gnm-5000-7500-0.txt         5000       ?      -1      -1      -1   false
gnm-5000-7500-1.txt         5000       ?      -1      -1      -1   false
grid-10-0.txt                100       ?       0      !?      49    true
grid-10-1.txt                100       ?       0      !?      29    true
grid-10-2.txt                100       ?       2      !?      -1    true
grid-25-0.txt                625       ?       0      !?     324    true
grid-25-1.txt                625       ?       0      !?     123    true
grid-25-2.txt                625       ?       5      !?      -1    true
grid-5-0.txt                  25       ?       0      !?      14    true
grid-5-1.txt                  25       ?       0      !?       8    true
grid-5-2.txt                  25       ?       1      !?      -1    true
grid-50-0.txt               2500       ?       0      !?    1249    true
grid-50-1.txt               2500       ?       0      !?     521    true
grid-50-2.txt               2500       ?      10      !?      -1    true
increase-n10-1.txt            10       ?       1       2       1    true
increase-n10-2.txt            10       ?       1       3       1    true
increase-n10-3.txt            10       ?      -1      -1      -1   false
increase-n100-1.txt          100       ?      -1      -1      -1   false
increase-n100-2.txt          100       ?       1      13       1    true
increase-n100-3.txt          100       ?      -1      -1      -1   false
increase-n20-1.txt            20       ?      -1      -1      -1   false
increase-n20-2.txt            20       ?       0       5       1    true
increase-n20-3.txt            20       ?      -1      -1      -1   false
increase-n50-1.txt            50       ?      -1      -1      -1   false
increase-n50-2.txt            50       ?       1       5       1    true
increase-n50-3.txt            50       ?       1       4       1    true
increase-n500-1.txt          500       ?       1      16       1    true
increase-n500-2.txt          500       ?       1      17       1    true
increase-n500-3.txt          500       ?       1      16       1    true
increase-n8-1.txt              8       ?       1       2       1    true
increase-n8-2.txt              8       ?       0       1       1    true
increase-n8-3.txt              8       ?       0       1       1    true
rusty-1-17.txt                17       ?       0      !?      10   false
rusty-1-2000.txt            2000       ?      -1      -1      -1   false
rusty-1-2500.txt            2500       ?      -1      -1      -1   false
rusty-1-3000.txt            3000       ?       0      !?      14    true
rusty-1-3500.txt            3500       ?       0      !?      14    true
rusty-1-4000.txt            4000       ?       0      !?      13    true
rusty-1-4500.txt            4500       ?       0      !?       7    true
rusty-1-5000.txt            5000       ?       0      !?       7    true
rusty-1-5757.txt            5757       ?       0      !?       7    true
rusty-2-2000.txt            2000       ?       0      !?       5    true
rusty-2-2500.txt            2500       ?       0      !?       4    true
rusty-2-3000.txt            3000       ?       0      !?       4    true
rusty-2-3500.txt            3500       ?       0      !?       4    true
rusty-2-4000.txt            4000       ?       0      !?       4    true
